imu_mx,imu_my,imu_mz
-27.15,-29.55,17.25
-27.3,-26.25,15.15
-27.45,-26.1,12.75
-28.05,-25.2,9.75
-27.3,-22.5,10.05
-27.15,-20.7,7.35
-27,-18.3,6.15
-26.25,-19.35,2.85
-24.15,-18,-0.15
-19.5,-19.05,-7.95
-17.1,-22.2,-10.95
-12,-21.9,-17.55
-6.9,-26.7,-18.45
-0.3,-29.7,-21.75
5.85,-34.35,-23.85
15.45,-37.35,-24.3
28.8,-45.45,-19.5
36.9,-53.1,-10.05
40.5,-57.75,-3
44.25,-58.2,4.5
51,-56.1,8.25
54.3,-52.65,9.75
56.55,-53.1,16.65
57.75,-52.2,23.25
55.65,-53.55,28.8
52.95,-55.65,33
52.95,-54.9,35.1
53.4,-52.5,38.25
54,-51.9,39.45
50.7,-52.2,43.5
48.3,-54,45.15
46.35,-54.75,46.95
44.85,-54.3,46.65
40.5,-55.5,48.75
37.65,-56.4,50.4
33.3,-56.85,51.9
25.35,-55.5,53.85
16.8,-58.2,51
6.6,-60.3,48.3
-1.65,-57.75,43.35
-12.45,-51.9,39.45
-18.75,-47.25,32.25
-20.25,-45,26.4
-23.7,-43.05,19.95
-22.5,-40.35,11.85
-20.85,-43.35,9.6
-20.1,-42.45,2.7
-16.2,-42.75,0.3
-13.95,-43.5,-3.15
-6.9,-45.45,-8.7
4.35,-48,-16.2
19.5,-49.65,-17.4
39,-50.1,-13.5
50.1,-52.5,0.15
54.15,-56.7,12.45
50.25,-59.1,26.1
43.2,-60.6,37.65
32.1,-61.5,43.5
22.65,-61.95,46.95
16.65,-63,44.25
13.8,-65.1,42.9
12.3,-64.35,40.5
8.7,-64.65,38.25
7.5,-65.1,34.95
7.95,-64.35,33.6
7.5,-65.4,31.35
8.1,-65.25,31.2
6.9,-66.45,28.65
4.95,-65.85,30.3
4.35,-66.45,28.2
4.95,-67.35,25.5
2.4,-65.85,20.1
-0.45,-63.6,16.5
-2.85,-62.25,11.25
-2.1,-59.85,4.95
-3.75,-57.75,2.7
-3.3,-56.4,-0.3
-3.45,-56.25,-1.2
-1.65,-58.2,-0.15
-1.35,-58.8,0
-0.6,-58.8,0.3
0.15,-58.2,-1.5
1.2,-56.7,-4.5
4.8,-56.4,-6.45
6,-56.25,-7.8
17.85,-55.95,-10.35
34.5,-55.2,-9.9
49.95,-54.6,1.35
55.35,-54.3,19.05
53.1,-55.95,29.55
48.45,-57.6,38.4
42,-57.45,44.1
39.15,-56.85,46.8
33.3,-58.05,50.85
25.5,-59.55,50.1
25.8,-59.1,48.9
20.7,-61.05,49.35
