cali_x,cali_y,cali_z
18.25422496769563,-44.77167604897663,-22.872249049715954
17.305561960636698,-47.355921604273696,-18.137949259912467
17.779893464166168,-47.36407222718293,-14.093636441357853
19.67721947828403,-46.63180801260941,-11.015606955629009
20.625882485342963,-46.80108259966997,-8.687472233820952
21.100213988872433,-48.338966635000105,-4.769560840830735
22.20698749710785,-48.052038072637465,-2.919428904875223
21.5745454924019,-48.50009059915142,-2.435762783339812
20.625882485342963,-48.024869329606695,10.651292166067421
20.625882485342963,-45.57729586973324,12.16198828141641
20.942103487695945,-45.88867630082357,14.967915747147847
21.100213988872433,-44.82057978643202,19.306983928431322
21.25832449004892,-42.37572320086165,21.283097206092915
21.5745454924019,-42.3811569494678,23.14854141246522
20.942103487695945,-40.38163601610833,26.54481847197028
19.519108977107543,-37.75663734626509,30.406092609929622
19.835329979460518,-36.23233768245034,33.48831643723796
21.5745454924019,-33.35572981618448,35.43674186287197
21.25832449004892,-20.959455426969,43.146829621557295
18.25422496769563,-18.307288014094997,45.46929840888104
17.779893464166168,-14.627777201375594,46.80639603584026
17.938003965342656,-13.559680686984041,47.40702469013528
16.515009454754253,-11.087655358382898,48.62317418528383
15.566346447695322,-9.235674017659349,49.53387047272453
16.989340958283723,-8.342285838934503,50.43387021458696
15.250125445342348,-6.62969346793766,49.48772232014423
13.510909932400965,-3.9992610494882714,50.08163742911059
12.404136424165547,-0.614829422040741,50.964854607052125
11.297362915930123,14.089629457321475,49.91730536347903
11.297362915930123,17.455042964647465,48.295015073501574
10.981141913577146,22.967516997968872,46.012313442863785
13.66902043357746,24.14511686475328,45.17788612875685
13.510909932400965,26.595407198929802,43.419335436551926
16.198788452401278,31.597340596766472,38.461514748057205
16.989340958283723,35.86700978002961,34.94294566894469
16.989340958283723,37.09079650996634,32.582927454128814
17.305561960636698,39.37996287999154,29.108198665177312
18.570445970048613,42.876614734135,26.065954635285543
21.890766494754875,47.714707293517264,8.33051780414252
21.890766494754875,48.173627317243536,3.804426642613453
22.997540002990295,47.69568917339572,1.1519609274879925
23.471871506519765,48.146458574212765,-3.3797935697239425
24.578645014755182,46.13878701794405,-8.962490355655126
23.946203010049235,45.53776115018799,-9.877802367934367
24.420534513578694,45.07069050355249,-12.834253596065043
22.997540002990295,45.40108905476436,-15.00389335737173
22.20698749710785,45.414673426279755,-19.04443061880443
21.100213988872433,44.20990481646457,-21.344247362797425
19.519108977107543,38.42408659229591,-31.182947474528575
15.72445694887181,36.3476647981805,-33.58882016377378
12.246025922989059,36.4074360328482,-36.97419193517218
8.135152892400347,36.63104810597031,-38.64149783126306
4.498611365341104,34.245962755067644,-42.44529974407785
2.1269538476937715,30.768329021045723,-44.21865898661946
0.2296278335759049,26.823624640388303,-46.767713066548495
-1.5095876793654708,24.40593679784871,-48.10187530410246
-2.6163611876008934,21.518461434370533,-48.96747364860865
-3.565024194659825,19.393135902799735,-49.07080164758327
-8.624560232307468,7.548155263615159,-53.61014872912383
-10.363775745248846,4.518574056107203,-52.28450287983692
-8.46644973113098,0.20271800969174367,-54.09414869949426
-8.940781234660447,-3.0015715334829207,-52.313363449015434
-10.521886246425336,-5.727922932809773,-52.24162526489766
-9.257002237013426,-7.585338022139477,-51.28687734596605
-7.992118227601513,-14.184926689973983,-50.396860387672554
-4.039355698189294,-20.065835514750354,-48.15170428632471
-2.9325821899538718,-22.838373777229517,-48.42359496499221
-1.5095876793654708,-26.075265812041117,-45.88662148912225
4.656721866517591,-39.18395791543882,-35.58568591889476
8.92570539828279,-41.09299361652698,-31.084134579257363
9.716257904165234,-44.31901815412627,-27.605000107396478
10.66492091122417,-45.71207947112355,-25.0976035615158
10.348699908871192,-48.30719252363292,-21.461233081327762
10.981141913577146,-48.16508667960316,-16.487134848393012
9.400036901812257,-51.65630478514045,-10.637285616137998
9.400036901812257,-50.43251805520374,-7.7011811677202475
7.344600386517902,-52.079905442926716,-3.438592001699701
5.447274372400035,-52.35324963377396,2.197594009126441
4.656721866517591,-52.0337185797744,10.456880146418662
3.70805885945866,-47.887137120419496,20.046551664742204
3.8661693606351473,-45.28930719360704,26.22547272145977
3.075616854752703,-39.15678917240804,35.9308478203687
3.5499483582821725,-29.68059263830767,43.375757146314484
2.285064348870259,-18.03288370948418,48.308025375154294
2.1269538476937715,-9.310686384381953,52.192498046010016
-1.035256175836005,2.8285450598047346,53.555938337799326
-0.7190351734830266,12.766378491934454,50.86898499029433
-1.5095876793654708,21.19349663176481,47.29000309902903
-1.8258086817184491,30.377330854896393,42.756064546303676
-1.8258086817184491,35.88437113961164,37.3542210860536
-1.9839191828949365,43.076835052292964,30.987351945751254
-3.090692691130359,46.614240020982585,24.23498506728536
-3.4069136934833373,49.526167253188454,19.04260918748394
-5.304239707601204,51.088503157246286,13.428236351672611
-6.727234218189603,51.72484839094235,9.850808390133238
-4.6717977028952475,52.91331575493907,7.46624905402495
-4.829908204071739,52.30413926427378,4.676053942568621
-7.201565721719069,52.344892378819935,1.7447726621170996
-7.992118227601513,50.828743337914425,-2.7337026521290353
-10.521886246425336,52.55492008042666,-7.097314553506404
-10.679996747601825,51.94574358976137,-6.616375078847844
-15.423311782896489,50.03859638270652,-7.300406335663628
-15.897643286425955,50.04674700561575,-9.475499390724018
-16.055753787602445,49.896490538676744,-10.093748177855124
