mag_x,mag_y,mag_z
16.05333333,26.98666667,32.29333333
16.58666667,29.48,29.65333333
17.28,31.18666667,27.65333333
18.01333333,33.93333333,23.61333333
20.61333333,39.48,7.96
21.44,39.85333333,3.426666667
21.88,39.92,1.173333333
22.38666667,39.61333333,-3.68
23,38.89333333,-6.84
23.18666667,38.73333333,-9.133333333
22.56,38.50666667,-11.12
22.06666667,37.86666667,-14.26666667
21.50666667,37.30666667,-16.88
20.94666667,36.30666667,-20.10666667
18.29333333,31.50666667,-30.37333333
14.85333333,30.88,-32.09333333
12.42666667,29.92,-34.88
8.173333333,28.22666667,-36.68
4.813333333,26.29333333,-40.09333333
2.706666667,22.48,-44.08
1.146666667,21.02666667,-44.6
-0.346666667,17.42666667,-46.62666667
-1.293333333,15.17333333,-48.04
-2.84,12.84,-49.04
-7.506666667,2.04,-52.09333333
-7.8,-1.04,-52.68
-6.973333333,-5.133333333,-53.30666667
-7.48,-7.786666667,-53.44
-8.6,-11.48,-53.10666667
-8.706666667,-13,-52.92
-6.52,-19.16,-52.17333333
-6.28,-23.77333333,-51.29333333
-2.573333333,-27.45333333,-49.84
-0.133333333,-29.64,-48.45333333
6.226666667,-42.50666667,-38.68
9.493333333,-45.54666667,-34.74666667
10.64,-47.93333333,-30.72
11.24,-49.42666667,-29
11.56,-50.52,-25.97333333
11.09333333,-52.94666667,-19.98666667
10.05333333,-54.77333333,-14.96
9.106666667,-55.06666667,-13.01333333
7.026666667,-55.76,-8.36
6.693333333,-56.17333333,-3.786666667
5.12,-55.12,5.16
4.12,-52.4,14
4.973333333,-48.21333333,21.85333333
4.266666667,-43.25333333,28.28
3.2,-33.58666667,36.56
2,-22.64,42.4
1.493333333,-15.89333333,44.24
-0.306666667,-3.826666667,45.53333333
-1.653333333,7.746666667,43.78666667
-1.506666667,13.94666667,42.08
-1.84,22.70666667,37.57333333
-2.24,29.89333333,31.93333333
-2.413333333,34.41333333,26.56
-2.64,38.57333333,20.6
-3.106666667,40.58666667,15.84
-4.253333333,41.96,11.45333333
-4.733333333,42.74666667,8.44
-5.546666667,43.21333333,6.28
-5.426666667,43.29333333,3.333333333
-6.826666667,43.96,0.786666667
-7.546666667,43.17333333,-3.88
-9.426666667,42.48,-6.76
-10.78666667,42.16,-7.693333333
-13.37333333,42.33333333,-8.853333333
-13.93333333,41.26666667,-9.493333333
-15.22666667,40.89333333,-11.64
-16.41333333,40.25333333,-12.68
-17.45333333,39.74666667,-12.28
-17.02666667,39.6,-13.25333333
-14.82666667,40.28,-15.86666667
-5.56,38.84,-23.96
-5.28,38.25333333,-25.17333333
-4,37.93333333,-25.90666667
-1.4,37.16,-26.89333333
0.853333333,36.97333333,-28.97333333
2.76,35.61333333,-30.70666667
2.76,34.10666667,-31.36
0.253333333,29.22666667,-38.05333333
-2.706666667,22.76,-43.6
-7.373333333,11.17333333,-49.01333333
-12.13333333,-26.13333333,-48.89333333
-11.37333333,-31.17333333,-47.14666667
-11.06666667,-37.66666667,-43.04
-9.826666667,-41.53333333,-39.81333333
-9.253333333,-44.78666667,-36.57333333
-8.08,-46.58666667,-34.53333333
-7.573333333,-48.12,-32.37333333
-5.96,-50.58666667,-29.8
-5.693333333,-51.41333333,-27.45333333
-5.44,-52.94666667,-25.92
-8.853333333,-55.56,-13.02666667
-9.706666667,-56,-10.69333333
-11.92,-55.62666667,-7.44
-13.57333333,-54.96,-5.546666667
-15.72,-54.38666667,-1.933333333
-18.21333333,-53.08,-0.626666667
-18.29333333,-52.77333333,2.64
-16.88,-52.64,4.986666667
-14.04,-51.94666667,10.93333333
-12.48,-50.86666667,13.53333333
-3.72,-39.8,31.61333333
-1.213333333,-36.56,34.30666667
0.946666667,-33.74666667,36.8
0.866666667,-31.6,37.72
2.253333333,-28.89333333,38.93333333
2.453333333,-26.13333333,41.42666667
0.546666667,-19.10666667,43.57333333
-0.493333333,-13.02666667,44.73333333
-1.12,-1.48,45.34666667
-2.933333333,7.706666667,43.82666667
-8.16,33.21333333,26.65333333
-9.613333333,36.04,21.84
-10.88,38.26666667,18.13333333
-11.42666667,39.33333333,14.52
-12.21333333,39.73333333,12.68
-12.94666667,41.21333333,8.093333333
-14.72,41.57333333,5.613333333
-14.73333333,40.88,2.986666667
-16.81333333,41.01333333,-0.4
-17.34666667,40.61333333,-1.546666667
-23.32,37.42666667,-11.30666667
-22.61333333,36.52,-15.77333333
-22.38666667,35.62666667,-18.89333333
-21.54666667,34.86666667,-22.08
-22.10666667,34.12,-23.36
-23.72,32.69333333,-24.10666667
-24.10666667,31.38666667,-24.89333333
-22.97333333,31.89333333,-26.24
-21.89333333,32.13333333,-26.21333333
-21.58666667,31.49333333,-26.81333333
-15.42666667,28.05333333,-36.25333333
-14.13333333,26.53333333,-37.21333333
-13.97333333,26.49333333,-37.85333333
