cali_x,cali_y,cali_z
22.60900448824926,-5.015505489313452,-47.89958371504007
22.959334466178166,-3.906279868940671,-47.632287027583935
23.057426857475882,-4.355621033348296,-47.89034983727649
20.759262186287224,-6.27076315277425,-48.4312915924919
20.64715658872562,-5.695366810860994,-48.234654407141896
21.950384119653418,-5.237358729530746,-48.05881482124391
21.964397315407403,-5.014183980928596,-48.32527466236863
22.482885694933668,-4.3978691452675225,-47.81813339391549
23.744073628089602,-2.4301905247400435,-47.314889428290655
23.702034030317737,-1.7586718279283384,-47.4394592777211
23.53387563923028,-0.8746235085679941,-47.28093003939906
24.05236400824664,0.551904774527728,-47.3483627009599
23.716047226071726,1.0627736449555247,-47.32389365032885
23.51986243296639,4.755295460512317,-47.33271578726436
22.272687706074343,6.558967738948724,-47.78669033294341
22.048476510951133,8.142805556235748,-47.55335591468214
21.894331326127563,8.453784374887533,-47.45836663421638
21.445908946391043,8.21297583879291,-47.71262350756929
21.768212532811972,8.722190786788849,-47.30594545856795
22.679070477529102,9.971781310566206,-46.84290076742153
22.721110075300967,10.739089949277048,-46.7755112645984
22.048476510951133,12.375472376155152,-46.322808695072055
20.63314339297163,13.80596520565901,-46.95366251968569
18.012675124852144,18.46399122586922,-46.71262031469187
16.66740799615248,19.180392959144733,-46.64764319301267
14.187071727612475,19.77005845726922,-46.77978338912242
12.225223838598732,20.794439235349714,-47.26822046170065
8.848042813738655,21.405378768527317,-47.971678877430115
7.600868080540667,21.4489321777894,-47.82760239817015
6.493825338514241,21.656791877750777,-47.96800383261139
5.975336966344909,21.403676181612948,-48.27548346312594
5.3307298008599835,21.72628923410155,-48.10020237776493
4.2797398565633715,21.890911714584767,-47.742033562465295
4.111581465475913,22.34191491724764,-47.85175539185464
4.6160566387382875,22.078502718923097,-47.97980949604267
5.106518612042714,22.136714471689714,-48.00578490195439
5.526914589761358,20.967298877994565,-48.26505364031102
5.316716600902035,19.84077998847511,-48.88097646881427
5.849218173029316,16.894617070858207,-50.04561039217856
6.746062925145428,14.261103117689915,-50.21258833812545
7.404683290588302,14.273418392409095,-50.68731651674726
7.712973673898311,12.505986567289268,-51.06014142009886
7.41869648949526,11.311616132118553,-51.155482195986984
