mag_x,mag_y,mag_z
7.28,4.786666667,25.44
7.253333333,4.76,25.70666667
7.226666667,4.72,25.64
7.306666667,4.76,25.68
7.253333333,4.786666667,25.58666667
7.12,4.72,25.49333333
7.173333333,4.76,25.25333333
7.173333333,4.84,25.06666667
7.08,4.92,25.32
7.066666667,4.88,25.28
7.066666667,4.786666667,25.49333333
6.973333333,5,25.12
7.013333333,4.813333333,25.32
7.08,4.946666667,25.36
7.093333333,4.893333333,25.30666667
7,4.88,25.30666667
7.013333333,4.853333333,25.29333333
7.04,4.813333333,25.25333333
7.066666667,4.853333333,25.37333333
7.026666667,4.8,25.29333333
7.106666667,4.88,25.32
7.08,4.746666667,25.52
7.173333333,4.76,25.50666667
7.066666667,4.746666667,25.54666667
7.106666667,4.733333333,25.58666667
7.066666667,4.76,25.53333333
7.093333333,4.733333333,25.38666667
7.04,4.866666667,25.14666667
7,4.933333333,25.33333333
7.04,4.853333333,25.36
7.613333333,4.653333333,25.2
7,5.386666667,25.04
6.986666667,5.173333333,25.28
7.04,4.96,25.32
7.026666667,4.88,25.2
7,4.96,25.28
7.066666667,4.906666667,25.26666667
7.053333333,4.893333333,25.28
7.053333333,5.013333333,25.30666667
6.96,5.053333333,25.01333333
7,5,25.06666667
7.013333333,5.173333333,25.01333333
7.106666667,4.746666667,25.96
7.08,4.786666667,25.54666667
7.106666667,4.786666667,25.58666667
7.066666667,4.733333333,25.54666667
7.106666667,4.746666667,25.56
7.08,4.746666667,25.58666667
7.12,4.773333333,25.6
7.173333333,4.826666667,25.61333333
7.186666667,5,25.56
7.066666667,5.08,25.18666667
7.106666667,5.146666667,25.12
7.173333333,5.16,25.10666667
7.08,5.133333333,25.02666667
7.106666667,5.226666667,25.08
7.026666667,5.146666667,25.06666667
7.053333333,5.093333333,25.18666667
7.106666667,5.133333333,25.13333333
7.04,5.133333333,25.09333333
7.133333333,5.093333333,25.42666667
7.066666667,4.973333333,25.62666667
7.16,5,25.33333333
7.106666667,4.946666667,25.53333333
7.146666667,4.92,25.54666667
7.16,4.96,25.64
7.173333333,4.986666667,25.58666667
7.12,4.933333333,25.62666667
7.12,4.893333333,25.58666667
7.133333333,4.96,25.64
7.173333333,4.986666667,25.38666667
7.146666667,4.986666667,25.36
7.146666667,5,25.4
7.12,5.88,24.72
7.133333333,5,25.37333333
7.36,4.72,25.28
7.16,5.053333333,25.22666667
7.106666667,5.066666667,25.21333333
7.16,5.106666667,25.12
7.066666667,5.053333333,25.02666667
7.133333333,5.12,25.38666667
7.08,5.053333333,25.44
7.066666667,4.973333333,25.42666667
7.106666667,5.04,25.44
7.12,4.973333333,25.57333333
7.106666667,5,25.6
7.08,4.986666667,25.44
7.093333333,5.053333333,25.44
7.2,4.946666667,25.65333333
7.106666667,5.093333333,25.24
7.106666667,5.213333333,25.10666667
7.093333333,5,25.29333333
7.08,5.08,25.4
7.053333333,5,25.36
7.72,4.453333333,25.36
7.08,5.013333333,25.32
7.053333333,5,25.32
7.08,5.04,25.41333333
7.133333333,5.066666667,25.41333333
7.16,5.066666667,25.37333333
7.186666667,4.96,25.65333333
7.146666667,4.933333333,25.6
7.186666667,4.933333333,25.69333333
7.12,4.986666667,25.30666667
7.08,5.093333333,25.37333333
7.053333333,5.04,25.36
7.146666667,5.093333333,25.53333333
7.12,4.946666667,25.54666667
7.226666667,5.04,25.61333333
7.16,4.986666667,25.6
7.12,5,25.34666667
7.08,4.986666667,25.32
7.08,5,25.32
7.053333333,5,25.4
7.08,5,25.32
7.12,5.026666667,25.36
7.146666667,5.026666667,25.36
7.093333333,4.96,25.37333333
7.026666667,5.04,25.42666667
7.053333333,5.013333333,25.34666667
7.133333333,4.88,25.58666667
7.12,4.906666667,25.65333333
7.2,4.92,25.66666667
7.12,4.893333333,25.61333333
7.16,4.906666667,25.34666667
7.093333333,5.066666667,25.2
7.386666667,4.72,25.45333333
7.173333333,5.053333333,25.46666667
7.12,5,25.62666667
7.093333333,5.04,25.26666667
7.106666667,5.026666667,25.26666667
7.133333333,5.093333333,25.33333333
7.093333333,5.053333333,24.98666667
7.053333333,5.013333333,25.09333333
7.08,5.106666667,25.32
7.12,5.093333333,25.41333333
7.04,5.066666667,25.41333333
6.373333333,5.266666667,24.84
7.106666667,5.013333333,25.33333333
7.106666667,5.2,25.14666667
6.586666667,5.133333333,25.17333333
7.173333333,4.973333333,25.66666667
7.213333333,4.96,25.6
7.146666667,4.96,25.66666667
7.186666667,4.893333333,25.65333333
7.253333333,4.906666667,25.69333333
7.12,4.853333333,25.58666667
7.226666667,4.906666667,25.62666667
7.213333333,4.946666667,25.45333333
7.146666667,4.986666667,25.24
7.026666667,5.12,25.14666667
7.106666667,5.093333333,25.10666667
7.053333333,5.133333333,25.14666667
7.066666667,5.08,25.12
7.106666667,5.146666667,25.13333333
7.12,5.093333333,25.13333333
7.026666667,5.053333333,25.2
7.04,5.08,25.16
7.066666667,5.106666667,25.26666667
7.306666667,4.84,25.53333333
7.586666667,4.76,25.30666667
7.893333333,4.626666667,25.44
8.4,4.493333333,25.42666667
8.36,4.373333333,25.30666667
8.386666667,4.453333333,25.37333333
8.373333333,4.413333333,25.41333333
8.48,4.36,25.38666667
8.453333333,4.373333333,25.42666667
8.44,4.426666667,25.38666667
7.693333333,4.453333333,25.33333333
8.413333333,4.586666667,25.06666667
8.426666667,4.653333333,25.22666667
8.413333333,4.586666667,25.2
8.373333333,4.48,25.42666667
8.413333333,4.44,25.37333333
8.36,4.44,25.52
8.386666667,4.44,25.48
8.36,4.4,25.42666667
8.4,4.506666667,25.53333333
8.36,4.546666667,25.26666667
8.4,4.56,25.46666667
8.4,4.44,25.21333333
8.36,4.506666667,25.28
8.306666667,4.653333333,25.10666667
8.146666667,4.666666667,25.21333333
7.933333333,4.68,25.24
7.76,4.706666667,25.2
7.8,4.706666667,25.09333333
7.773333333,4.693333333,25.12
7.693333333,4.866666667,24.85333333
7.72,4.706666667,25.42666667
7.88,4.586666667,25.50666667
7.893333333,4.586666667,25.53333333
7.933333333,4.64,25.54666667
7.906666667,4.6,25.37333333
7.8,4.693333333,25.12
7.826666667,4.746666667,25.24
7.866666667,4.733333333,25.28
7.92,4.68,25.48
7.933333333,4.666666667,25.13333333
7.8,4.746666667,25.17333333
7.853333333,4.76,25.24
7.826666667,4.693333333,25.2
7.88,4.773333333,25.22666667
